annee;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc
2010;0134009M;Aix-Marseille;A02;Aix-Marseille;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;64;69;5;89;67;84;98;1870;29100;29;11.7;1750;nd;nd;;;;Aix-Marseille_30;disc03_30
2010;0134009M;Aix-Marseille;A02;Aix-Marseille;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;316;69;25;93;80;84;97;2130;33300;29;11.7;1750;nd;nd;;;;Aix-Marseille_30;disc04_30
2010;0134009M;Aix-Marseille;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;144;77;9;83;85;69;91;1730;26900;29;11.7;1750;nd;nd;;;;Aix-Marseille_30;disc13_30
2010;0134009M;Aix-Marseille;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;35;86;2;94;100;97;100;ns;ns;29;11.7;1750;nd;nd;;;;Aix-Marseille_30;disc16_30
2010;0134009M;Aix-Marseille;A02;Aix-Marseille;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;84;81;6;90;86;77;96;1820;28300;29;11.7;1750;nd;nd;;;;Aix-Marseille_30;disc17_30
2010;0141408E;Caen - Basse-Normandie;A05;Caen;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;255;76;55;93;92;85;98;2110;32900;26;9.7;1680;nd;nd;;;;Caen - Basse-Normandie_30;disc01_30
2010;0141408E;Caen - Basse-Normandie;A05;Caen;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;8;73;2;ns;ns;ns;ns;ns;ns;26;9.7;1680;nd;nd;;;;Caen - Basse-Normandie_30;disc11_30
2010;0141408E;Caen - Basse-Normandie;A05;Caen;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;7;88;1;ns;ns;ns;ns;ns;ns;26;9.7;1680;nd;nd;;;;Caen - Basse-Normandie_30;disc15_30
2010;0141408E;Caen - Basse-Normandie;A05;Caen;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;24;84;5;ns;ns;ns;ns;ns;ns;26;9.7;1680;nd;nd;;;;Caen - Basse-Normandie_30;disc17_30
2010;0171463Y;La Rochelle;A13;Poitiers;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;52;67;27;85;84;78;91;1770;27600;36;9.8;1670;nd;nd;;;;La Rochelle_30;disc01_30
